OrgNo;Navn;AntallAnsatte;Naeringskode;Organisasjonsform;brregNavn
823070632;VIK BYGGSERVICE AS;8;41.200;AS;
823073232;ESPEN SIMENSEN HOLDING AS;0;62.010;AS;
823099002;KREKLING CONSULTING AS;1;85.599;AS;
823119542;JAKOBSEN MEKANISKE VERKSTED DRIFT AS;6;33.150;AS;
823130422;HELGELAND REVISJON AS;7;69.202;AS;
823131542;DANIEL PLURA SNEKKERSERVICE AS;1;41.200;AS;
823145802;STILLAS1 AS;25;43.990;AS;
823149972;RYDMARKGÅRDEN & CO AS;0;68.209;AS;
823160712;JOBBUTSTYR AS;1;46.421;AS;
823163762;HABO-EIENDOM AS;0;;AS;
823169442;STRYN HOUSE APARTMENTS AS;2;55.102;AS;FLIK EIENDOM AS
823171382;BESITY AS;1;70.220;AS;
823176732;EXCESS HOLDING AS;0;;AS;
823187912;OPTUS AS;8;73.110;AS;CREATIVE HEADS AS
823194552;Sentrum Regnskap Edina Brohier;0;;ENK;EDINA BROHIER
823197942;ØVRE 2 AS;0;68.209;AS;
823212852;UGLE EIENDOM AS;0;68.209;AS;IH3 EIENDOM AS
823219342;Ulrix Personal AS;8;78.200;AS;
823231032;AASLAND AS;0;70.220;AS;
823242352;Blomsterteltet Tynset AS;3;47.761;AS;
823244002;H. HOLMEBAKKEN AS;2;43.990;AS;
823251602;FOSSHEIM TURISTHOTELL AS;37;55.101;AS;
823256272;Endretta AS;0;93.190;AS;
823261152;KNIKSEN SPORTSBAR OASEN AS;25;56.301;AS;
823261292;SLØRDAHL BYGGSERVICE AS;2;43.990;AS;
823321902;ARCTIC LOGISTICS AS;0;70.220;AS;
823323492;BEAUTY BY ANNA AS;4;96.020;AS;
823336772;Hjelsethgården Martin L. Hjelseth;0;;ENK;
823378882;SØR TECH AS;2;33.120;AS;
823388152;SCITUS AS;1;71.129;AS;
823393342;RNP E2 AS;0;68.209;AS;
823400632;Kokstadflaten Utleie AS;0;68.209;AS;
823404522;SKYSET UTBYGGING AS;0;41.109;AS;
823414862;NORTHCON NORGE AS;0;;AS;
823417942;Skjoldingsneset Eiendom AS;0;68.209;AS;
823421192;Sandblåsing Metallisering Og Overflatebehandling AS;1;25.620;AS;
823441142;Dokka Farge Og Miljø AS;15;47.523;AS;
823450982;DEVOLD CONSULTING AS;13;69.201;AS;
823458452;THAI SABAI MASSASJE AS;0;96.040;AS;
823459602;BANKEN CAFÈ AS;18;56.101;AS;
823479522;SÆVEREID CONSULTING AS;1;62.010;AS;
823479662;INVESTAD AS;1;70.220;AS;
823480652;LH OG SØNN AS;0;47.990;AS;
823485352;Drabløs Bygg;0;41.200;ENK;
823554052;Bare 3 AS;5;46.739;AS;
823566042;UNDERDAL MASKIN;0;;ENK;
823567952;Kids Og Kaffe AS;15;56.101;AS;
823577842;REFSTADVEIEN 22 AS;0;68.209;AS;
823600372;PAXON HAUGESUND AS;11;71.121;AS;
823617232;HALLERUD CONSULTING AS;2;70.220;AS;
823624182;Tasteful Foods Norway AS;1;46.390;AS;
823627432;MERKURPOS AS;0;62.010;AS;
823633882;EBUTIKKEN UTVIKLING AS;0;62.010;AS;
